coral_uid,host_species,host_species_md,cohort_label,taxon,taxon_label,n_months,n_present,total_count,occurrence,mean_abundance,intensity
14Sp7_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,14,0,0,0,0,NA
14Sp7_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,14,6,11,0.42857142857142855,0.7857142857142857,1.8333333333333333
1Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,2,3,0.11764705882352941,0.17647058823529413,1.5
1Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,14,27,0.8235294117647058,1.588235294117647,1.9285714285714286
1Pd1_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,11,6,12,0.5454545454545454,1.0909090909090908,2
1Pd1_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,11,10,21,0.9090909090909091,1.9090909090909092,2.1
1Pd10_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
1Pd10_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,7,12,0.4117647058823529,0.7058823529411765,1.7142857142857142
1Pd10_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,11,1,2,0.09090909090909091,0.18181818181818182,2
1Pd10_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,11,11,24,1,2.1818181818181817,2.1818181818181817
1Pd2_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,1,1,0.058823529411764705,0.058823529411764705,1
1Pd2_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,12,19,0.7058823529411765,1.1176470588235294,1.5833333333333333
1Pd2_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,4,0,0,0,0,NA
1Pd2_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,4,4,8,1,2,2
1Pd3_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
1Pd3_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,7,13,0.4117647058823529,0.7647058823529411,1.8571428571428572
1Pd3_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,9,0,0,0,0,NA
1Pd3_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,9,6,12,0.6666666666666666,1.3333333333333333,2
1Pd4_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,0,0,0,0,NA
1Pd4_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,4,4,0.23529411764705882,0.23529411764705882,1
1Pd4_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,11,0,0,0,0,NA
1Pd4_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,11,1,1,0.09090909090909091,0.09090909090909091,1
1Pd5_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,12,34,0.7058823529411765,2,2.8333333333333335
1Pd5_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,trapezia,*Trapezia*,17,13,47,0.7647058823529411,2.764705882352941,3.6153846153846154
1Pd5_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,alpheus,*Alpheus*,11,9,18,0.8181818181818182,1.6363636363636365,2
1Pd5_control_T2,Pocillopora favosa,*Pocillopora favosa*,N2,trapezia,*Trapezia*,11,10,22,0.9090909090909091,2,2.2
1Pd6_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,17,7,24,0.4117647058823529,1.411764705882353,3.4285714285714284
