cohort,genus,coral_uid,month_bin,taxon,count,present,species,cohort_label,host_cohort,taxon_label
T1,Stylophora,1Sp5_control_T1,1,trapezia,0,0,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Trapezia*
T1,Stylophora,1Sp5_control_T1,1,alpheus,0,0,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Alpheus*
T1,Stylophora,1Sp6_control_T1,1,trapezia,1,1,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Trapezia*
T1,Stylophora,1Sp6_control_T1,1,alpheus,0,0,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Alpheus*
T1,Stylophora,1Sp7_control_T1,1,trapezia,1,1,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Trapezia*
T1,Stylophora,1Sp7_control_T1,1,alpheus,0,0,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Alpheus*
T1,Stylophora,1Sp8_control_T1,1,trapezia,2,1,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Trapezia*
T1,Stylophora,1Sp8_control_T1,1,alpheus,0,0,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Alpheus*
T1,Stylophora,1Sp9_control_T1,1,trapezia,2,1,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Trapezia*
T1,Stylophora,1Sp9_control_T1,1,alpheus,0,0,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Alpheus*
T1,Pocillopora,5Pd1_control_T1,1,trapezia,0,0,*Pocillopora favosa*,N1,*Pocillopora favosa* - N1,*Trapezia*
T1,Pocillopora,5Pd1_control_T1,1,alpheus,0,0,*Pocillopora favosa*,N1,*Pocillopora favosa* - N1,*Alpheus*
T1,Pocillopora,5Pd2_control_T1,1,trapezia,2,1,*Pocillopora favosa*,N1,*Pocillopora favosa* - N1,*Trapezia*
T1,Pocillopora,5Pd2_control_T1,1,alpheus,0,0,*Pocillopora favosa*,N1,*Pocillopora favosa* - N1,*Alpheus*
T1,Stylophora,5Sp1_control_T1,1,trapezia,0,0,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Trapezia*
T1,Stylophora,5Sp1_control_T1,1,alpheus,0,0,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Alpheus*
T1,Stylophora,5Sp2_control_T1,1,trapezia,4,1,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Trapezia*
T1,Stylophora,5Sp2_control_T1,1,alpheus,1,1,*Stylophora pistillata*,N1,*Stylophora pistillata* - N1,*Alpheus*
