coral_uid,host_species,host_species_md,taxon,taxon_label,n_observations,n_present,total_count,occurrence,mean_abundance,intensity
1Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,23,1,1,0.043478260869565216,0.043478260869565216,1
1Sp5_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,23,11,16,0.4782608695652174,0.6956521739130435,1.4545454545454546
1Sp6_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,8,0,0,0,0,NA
1Sp6_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,8,7,10,0.875,1.25,1.4285714285714286
1Sp7_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,22,2,6,0.09090909090909091,0.2727272727272727,3
1Sp7_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,22,17,30,0.7727272727272727,1.3636363636363635,1.7647058823529411
1Sp8_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,23,0,0,0,0,NA
1Sp8_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,23,20,28,0.8695652173913043,1.2173913043478262,1.4
1Sp9_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,18,0,0,0,0,NA
1Sp9_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,18,15,26,0.8333333333333334,1.4444444444444444,1.7333333333333334
5Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,17,0,0,0,0,NA
5Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,17,5,7,0.29411764705882354,0.4117647058823529,1.4
5Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,17,3,5,0.17647058823529413,0.29411764705882354,1.6666666666666667
5Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,17,13,23,0.7647058823529411,1.3529411764705883,1.7692307692307692
5Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,25,0,0,0,0,NA
5Sp1_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,25,21,44,0.84,1.76,2.0952380952380953
5Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,alpheus,*Alpheus*,19,1,1,0.05263157894736842,0.05263157894736842,1
5Sp2_control_unified,Stylophora pistillata,*Stylophora pistillata*,trapezia,*Trapezia*,19,18,42,0.9473684210526315,2.210526315789474,2.3333333333333335
6Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,25,8,25,0.32,1,3.125
6Pd1_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,25,13,56,0.52,2.24,4.3076923076923075
6Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,alpheus,*Alpheus*,19,11,42,0.5789473684210527,2.210526315789474,3.8181818181818183
6Pd2_control_unified,Pocillopora favosa,*Pocillopora favosa*,trapezia,*Trapezia*,19,13,66,0.6842105263157895,3.473684210526316,5.076923076923077
